Study,Progress monitoring method,Focal behavior/outcome,NE,Nc,PM,GA
Hurling et al. (2007),Website,"Weight, PA",47,30,3.71***,2.86***d
King et al. (2008),PDA,PA,19,18,3.34***b,.71*c
Kirwan et al. (2013),Diary,Diabetes,32,36,.43ᵃ,3.78***d
Kobulnicky (2002),Diary,Effects of chemotherapy,42,29,3.95***b,.05d
Kraschnewski et al. (2011),Website,"Weight, diet, PA",43,45,2.16***b,.28d
Kristal et al. (2000),Diary,Diet,601,604,2.87***b,21***d
Kroenke et al. (2010),Phone,Depression,202,203,4.50***b,.54***de
Kwon et al. (2004),SMBG,BG,51,50,5.23****,.89***de
Ligibel et al. (2012),Diary,PA,48,51,2.80***b,.18d
Linde & Jeffrey (2011),Diary,"Weight, diet, PA",22,26,1.16****,.20d
Logan et al. (2012),SMBP,BP,55,55,3.26***b,.38d
Hyman et al. (1998),Diary,Cholesterol,65,58,3.44***b,.10d
Maljanian et al. (2005),Diary,Diabetes,181,162,.13a,.15de
Marquez-Contreras et al. (2006),MEMS,BP,100,100,1.11****,.24de
Maruyama et al. (2010),Website,PA,48,39,.61***,.44*c
McKinstry et al. (2013),PDA,BP,182,177,4.17***b,.41***d
McManus et al. (2010),SMBP,BP,234,246,3.49***b,3.80***d
"McMurdo et al. (2010) Comp. 1""",Diary,PA,60,33,4.61***b,1.32***d
"McMurdo et al. (2010) Comp. 2""",Diary,PA,53,33,4.50***b,3.31***d
Mehos et al. (2000),SMBP,BP,18,18,4.00***b,.56d
Moreland et al. (2006) Comp. 1w,SMBG,BG,50,49,.44*a,.14d
Moreland et al. (2006) Comp. 2*,SMBG,BG,50,49,-.07a,.07d
Janson et al. (2003),Diary,Asthma,31,27,-.09ᵃ,.72**de
Morgan et al. (2009),Website,"Weight, PA",24,31,.51b,1.21***d
Muchmore et al. (1994),SMBG,BG,12,11,3.61***b,1.86
Nanchahal et al. (2009),Pedometer,Weight,48,55,3.24***b,.07d
Nguyen et al. (2009),Phone,PA,9,8,".68""",-.54de
O'Kane et al. (2008),SMBG,BG,96,88,3.68***b,.09de
Ornes (2006),Diary,PA,30,29,3.41***b,.73**de
Orsama et al. (2013),PDA,Blood glucose,24,24,3.02***b,.47d
Oshima et al. (2013),PDA,Weight,28,28,1.51****,.30de
Pellegrini et al. (2012),Website,"Weight, diet, PA",17,13,.29a,.13d
Petersen et al. (2012),Pedometer,PA,192,173,3.87***b,.07d
Janson et al. (2009),Diaries,Asthma,45,39,.17ᵃ,.12d
Petrella et al. (2014),Phone,PA,67,60,3.37***b,-.04de
Phelan et al. (2014),Phone,"Weight, diet, PA",128,133,.28*a,.16d
Piette et al. (2011),Diary,Physical activity,145,146,-.47****,.40**de
Polonsky et al. (2011),SMBG,BG,188,187,-.37****,.33**d
Polzien et al. (2007),Diary,"Weight, diet, PA",16,16,.58a,.07d
Proudfoot et al. (2013),Website,Depression,126,185,1.14***b,24*de
Quinn et al. (2008),Log Book,Diabetes,13,13,4.26****,.72°
Ralston et al. (2014),Diary/Survey,BP,186,197,.29***,.29**d
Raynor et al. (2012),Diary,Weight,94,96,.00a,.42**°
Richardson et al. (2010),Website,PA,254,70,.44***,.16d
Jefferson (2005),Diary,"Mood, weight",21,29,3.82***b,-.09de
Rosal et al. (2011),SMBG,BG,124,128,.58****,.19d
Rosal et al. (2005),SMBG,BG,15,10,.81a,1.04*d
Rote (2013),Website,PA,27,26,.41a,1.34***de
Runyan et al. (2013),Phone,Time management,41,20,2.70***b,.68*c
Samuel-Hodge et al. (2009),Diary,Weight,64,62,3.64***b,.38*d
Sengpiel et al. (2010),PDA,Lung function,28,28,.30a,.23c
Seto et al. (2012),Phone,Heart function,44,50,3.82***b,.05de
Shapiro et al. (2012),Phone,"Weight, PA",64,79,3.17***b,.19d
Sheldon (1996),Diary,Diet,8,6,1.55*a,.45de
Sherwood et al. (2013),Diary/Survey,Weight,178,186,.45****,.16d
Jennings et al. (2014),Website,PA,77,77,3.79***b,.06de
Smith et al. (1997),Diary,"Weight, diet, BG",6,10,1.29*a,.65d
Spence et al. (2009),Log sheets,Physical activity,16,16,3.52***b,1.07**de
Steinberg et al. (2013),Phone,"Weight, diet, PA",45,44,3.82****,1.60***d
Suffoletto et al. (2012),Phone,Antibiotic adherence,72,72,3.31***b,.27c
Suffoletto et al. (2013),Phone,Symptom assessment,14,22,4.06***b,.38d
Jurgens et al. (2013),Diary,Heart failure,48,51,.77****,.13c
Kempf et al. (2013),Diary,Diabetes,62,60,2.75***b,.43*de
Kim et al. (2012),Website,"Weight, BG",19,23,3.73***b,.29d
